Species,Genus,Order,Vore,Conservation,BodyWt,BrainWt,TotalSleep,Awake,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger
Desert hedgehog,Paraechinus,Erinaceomorpha,insecti,lc,0.55,2.4,10.3,13.7,7.6,2.7,7.0,35.0,2.0,1.0,2.0
Dog,Canis,Carnivora,carni,domesticated,14.0,70.0,10.1,13.9,,2.9,16.0,63.0,1.0,1.0,1.0
Domestic cat,Felis,Carnivora,carni,domesticated,3.3,25.6,12.5,11.5,10.9,3.6,28.0,63.0,1.0,2.0,1.0
Donkey,Equus,Perissodactyla,herbi,domesticated,187.0,419.0,3.1,20.9,,0.4,40.0,365.0,5.0,5.0,5.0
Eastern american chipmunk,Tamias,Rodentia,herbi,,0.112,78.96,15.8,8.2,,,8.0,31.0,4.0,4.0,3.0
Eastern american mole,Scalopus,Soricomorpha,insecti,lc,0.075,1.2,8.4,15.6,6.3,2.1,3.5,42.0,1.0,1.0,1.0
European hedgehog,Erinaceus,Erinaceomorpha,omni,lc,0.77,3.5,10.1,13.9,6.6,4.1,6.0,42.0,2.0,2.0,2.0
Galago,Galago,Primates,omni,,0.2,5.0,9.8,14.2,9.5,1.2,10.4,120.0,2.0,2.0,2.0
Genet,Genetta,Carnivora,carni,,2.0,17.5,6.3,17.7,4.8,1.3,34.0,70.0,1.0,2.0,1.0
Giant armadillo,Priodontes,Cingulata,insecti,en,60.0,81.0,18.1,5.9,12.0,6.1,7.0,,1.0,1.0,1.0
Giraffe,Giraffa,Artiodactyla,herbi,cd,899.995,680.0,1.9,22.1,,0.3,28.0,400.0,5.0,5.0,5.0
Goat,Capri,Artiodactyla,herbi,lc,33.5,115.0,5.3,18.7,3.3,0.5,20.0,148.0,5.0,5.0,5.0
Golden hamster,Mesocricetus,Rodentia,herbi,en,0.12,1.0,14.3,9.7,11.0,3.4,3.9,16.0,3.0,1.0,2.0
Golden-mantled ground squirrel,Spermophilus,Rodentia,herbi,lc,0.205,4.0,15.9,8.1,10.4,3.4,9.0,28.0,5.0,1.0,3.0
Gorilla,Gorilla,Primates,herbi,cr,207.0,406.0,12.0,12.0,,,39.3,252.0,1.0,4.0,1.0
Gray hyrax,Heterohyrax,Hyracoidea,herbi,lc,2.625,12.27,6.3,17.7,,0.6,14.0,228.0,3.0,3.0,3.0
Gray seal,Haliochoerus,Carnivora,carni,lc,85.0,325.0,6.2,17.8,4.7,1.5,41.0,310.0,1.0,3.0,1.0
Gray wolf,Canis,Carnivora,carni,lc,36.33,119.5,13.0,11.0,,,16.2,63.0,1.0,1.0,1.0
Greater short-tailed shrew,Blarina,Soricomorpha,omni,lc,0.019,0.29,14.9,9.1,,2.3,3.0,22.0,3.0,3.0,2.0
Guinea pig,Cavis,Rodentia,herbi,domesticated,0.728,5.5,9.4,14.6,7.4,0.8,7.6,68.0,5.0,3.0,4.0
Horse,Equus,Perissodactyla,herbi,domesticated,521.0,655.0,2.9,21.1,2.1,0.8,46.0,336.0,5.0,5.0,5.0
House mouse,Mus,Rodentia,herbi,nt,0.022,0.4,12.5,11.5,11.9,1.3,3.2,19.0,4.0,1.0,3.0
Human,Homo,Primates,omni,,62.0,1320.0,8.0,16.0,6.1,1.9,100.0,267.0,1.0,1.0,1.0
Jaguar,Panthera,Carnivora,carni,nt,100.0,157.0,10.4,13.6,,,22.4,100.0,1.0,1.0,1.0
Laboratory rat,Rattus,Rodentia,herbi,lc,0.32,1.9,13.0,11.0,10.6,2.6,4.7,21.0,3.0,1.0,3.0
Lesser short-tailed shrew,Cryptotis,Soricomorpha,omni,lc,0.005,0.14,9.1,14.9,7.7,1.4,2.6,21.5,5.0,2.0,4.0
Lion,Panthera,Carnivora,carni,vu,161.499,234.11,13.5,10.5,,,20.0,115.0,1.0,1.0,1.0
Little brown bat,Myotis,Chiroptera,insecti,,0.01,0.25,19.9,4.1,17.9,2.0,24.0,50.0,1.0,1.0,1.0
Long-nosed armadillo,Dasypus,Cingulata,carni,lc,3.5,10.8,17.4,6.6,14.3,3.1,6.5,120.0,2.0,1.0,1.0
Macaque,Macaca,Primates,omni,,6.8,179.0,10.1,13.9,8.4,1.2,29.0,164.0,2.0,3.0,2.0
Mole rat,Spalax,Rodentia,insecti,,0.122,3.0,10.6,13.4,8.2,2.4,,30.0,2.0,1.0,1.0
Mongolian gerbil,Meriones,Rodentia,herbi,lc,0.053,78.9,14.2,9.8,,1.9,4.0,26.0,4.0,4.0,3.0
Mongoose lemur,Lemur,Primates,herbi,vu,1.67,80.45,9.5,14.5,,0.9,30.0,129.0,2.0,2.0,2.0
Mountain beaver,Aplodontia,Rodentia,herbi,nt,1.35,8.1,14.4,9.6,8.4,2.8,,45.0,3.0,1.0,3.0
Musk shrew,Suncus,Soricomorpha,insecti,lc,0.048,0.33,12.8,11.2,10.8,2.0,2.0,30.0,4.0,1.0,3.0
North American Opossum,Didelphis,Didelphimorphia,omni,lc,1.7,6.3,18.0,6.0,13.8,5.6,5.0,12.0,2.0,1.0,1.0
Northern fur seal,Callorhinus,Carnivora,carni,vu,20.49,98.55,8.7,15.3,,1.4,26.0,358.0,1.0,1.0,1.0
Northern grasshopper mouse,Onychomys,Rodentia,carni,lc,0.028,78.88,14.5,9.5,,,3.0,38.0,4.0,4.0,3.0
Owl monkey,Aotus,Primates,omni,,0.48,15.5,17.0,7.0,15.2,1.8,12.0,140.0,2.0,2.0,2.0
Patas monkey,Erythrocebus,Primates,omni,lc,10.0,115.0,10.9,13.1,10.0,0.9,20.2,170.0,4.0,4.0,4.0
Phalanger,Phalanger,Diprotodontia,herbi,,1.62,11.4,13.7,10.3,11.9,1.8,13.0,17.0,2.0,1.0,2.0
Pig,Sus,Artiodactyla,omni,domesticated,86.25,180.0,9.1,14.9,6.5,1.9,27.0,115.0,4.0,4.0,4.0
Pilot whale,Globicephalus,Cetacea,carni,cd,800.0,847.97,2.7,21.35,,0.1,60.0,456.0,,,
Potoroo,Potorous,Diprotodontia,herbi,,1.1,79.91,11.1,12.9,,1.5,11.0,38.0,2.0,2.0,2.0
Potto,Perodicticus,Primates,omni,lc,1.1,79.91,11.0,13.0,,,26.0,193.0,2.0,2.0,2.0
Rabbit,Oryctolagus,Lagomorpha,herbi,domesticated,2.5,12.1,8.4,15.6,7.5,0.9,18.0,31.0,5.0,5.0,5.0
Raccoon,Procyon,Carnivora,carni,,4.288,39.2,12.5,11.5,,,13.7,63.0,2.0,2.0,2.0
Red fox,Vulpes,Carnivora,carni,,4.23,50.4,9.8,14.2,7.4,2.4,9.8,52.0,1.0,1.0,1.0
Rock hyrax,Procavia,Hyracoidea,herbi,lc,3.6,21.0,5.4,18.6,4.9,0.5,6.0,225.0,3.0,2.0,3.0
Roe deer,Capreolus,Artiodactyla,herbi,lc,14.8,98.2,3.0,21.0,,,17.0,150.0,5.0,5.0,5.0
Round-tailed muskrat,Neofiber,Rodentia,herbi,nt,0.266,79.1,14.6,9.4,,,,,4.0,4.0,3.0
Sheep,Ovis,Artiodactyla,herbi,domesticated,55.5,175.0,3.8,20.2,3.2,0.6,20.0,151.0,5.0,5.0,5.0
Short-nosed echidna,Tachyglossus,Monotremata,insecti,,4.5,25.0,8.6,15.4,8.6,,50.0,28.0,2.0,2.0,2.0
Slow loris,Nyctibeus,Primates,carni,,1.4,12.5,11.0,13.0,,,12.7,90.0,2.0,2.0,2.0
Squirrel monkey,Saimiri,Primates,omni,,0.743,20.0,9.6,14.4,,1.4,20.0,160.5,2.0,2.0,2.0
Star-nosed mole,Condylura,Soricomorpha,omni,lc,0.06,1.0,10.3,13.7,8.1,2.2,3.5,40.0,3.0,1.0,2.0
Tenrec,Tenrec,Afrosoricida,omni,,0.9,2.6,15.6,8.4,11.0,2.3,4.5,60.0,2.0,1.0,2.0
Thick-tailed opposum,Lutreolina,Didelphimorphia,carni,lc,0.37,79.2,19.4,4.6,,6.6,,,2.0,2.0,1.0
Thirteen-lined ground squirrel,Spermophilus,Rodentia,herbi,lc,0.101,4.0,13.8,10.2,,3.4,7.9,28.0,4.0,4.0,3.0
Three-toed sloth,Bradypus,Pilosa,herbi,,3.85,82.55,14.4,9.6,,2.2,40.0,182.5,,,
Tiger,Panthera,Carnivora,carni,en,162.564,235.14,15.8,8.2,,,23.0,112.0,1.0,1.0,1.0
Tree hyrax,Dendrohyrax,Hyracoidea,herbi,lc,2.95,12.3,5.3,18.7,4.9,0.5,7.5,200.0,3.0,1.0,3.0
Tree shrew,Tupaia,Scandentia,omni,,0.104,2.5,8.9,15.1,13.2,2.6,2.3,46.0,3.0,2.0,2.0
Vervet,Cercopithecus,Primates,omni,lc,4.75,58.0,10.0,14.0,9.7,0.6,24.0,210.0,4.0,3.0,4.0
Vesper mouse,Calomys,Rodentia,herbi,,0.045,78.89,7.0,17.0,,,,21.8,4.0,4.0,3.0
Vole ,Microtus,Rodentia,herbi,,0.035,78.88,12.8,11.2,,,1.3,21.0,4.0,4.0,3.0
Water opossum,Chironectes,Didelphimorphia,carni,lc,3.5,3.9,19.4,4.6,12.8,6.6,3.0,14.0,2.0,1.0,1.0
Western american chipmunk,Eutamias,Rodentia,herbi,,0.071,78.92,14.9,9.1,,,,,4.0,4.0,3.0
