Species,Genus,Order,BodyWt,BrainWt,TotalSleep,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger,Vore_herbi,Vore_insecti,Vore_omni,Vore,BrainBodyRatio,LogBrainWt,LogBodyWt
North American Opossum,Didelphis,Didelphimorphia,0.46484355019128976,0.4669243093260286,0.9518094814802414,0.9253942976440789,0.9874571133555429,0.1866255353001033,0.0,2.0,1.0,1.0,0,0,1,omni,3.7058823529411766,1.840549633397487,0.5306282510621704
Northern fur seal,Callorhinus,Carnivora,0.7337810962107437,0.7485004694235631,0.3736345295307066,0.37501217690652405,0.3757194431789963,0.761636084026334,0.9134440125174712,1.0,2.0,1.0,0,0,0,carni,4.809663250366032,4.590564033598729,3.0199369622508083
Northern grasshopper mouse,Onychomys,Rodentia,0.09455192582824241,0.0025964637604827,0.7758532450453172,0.7810271649439563,0.7833912761613886,0.07418484890353447,0.29616511786434285,4.0,2.0,3.0,0,0,0,carni,0.025,-7.264430222920869,-3.575550768806933
Owl monkey,Aotus,Primates,0.32605255658520305,0.5626972291755826,0.910831643355002,0.9715003513172319,0.5155880190591969,0.4819305864497378,0.6867267143889758,2.0,2.0,2.0,0,0,1,omni,32.29166666666667,2.740840023925201,-0.7339691750802004
Patas monkey,Erythrocebus,Primates,0.6622347686571302,0.7624614550164189,0.5330869239355737,0.6409624298616077,0.1902958851246984,0.675925200613683,0.7395892088103727,4.0,4.0,4.0,0,0,1,omni,11.5,4.74493212836325,2.302585092994046
Phalanger,Phalanger,Diprotodontia,0.459367721369433,0.5299799295055831,0.7255314709984546,0.811860587868287,0.5155880190591969,0.5122268785077023,0.0708026056332016,2.0,1.0,2.0,1,0,0,herbi,7.037037037037037,2.4336133554004498,0.4824261492442928
Pig,Sus,Artiodactyla,0.8507713709363481,0.8011455423993277,0.40265674873665686,0.2669107043094267,0.5475433069516609,0.7736407589219735,0.6308461698149004,4.0,4.0,4.0,0,0,1,omni,2.0869565217391304,5.19295685089021,4.457250055911469
Pilot whale,Globicephalus,Cetacea,0.9572949293863817,0.9116567740707452,0.017518756682489596,0.028433642889601735,0.0,0.9590235540852614,0.9568364145126834,1.0,2.0,1.0,0,0,0,carni,1.0599625,6.742845257807619,6.684611727667927
Potoroo,Potorous,Diprotodontia,0.41573340350957494,0.7290560561089026,0.5474084178238636,0.5846550898715476,0.4122027247754853,0.4491813229091789,0.29616511786434285,2.0,1.0,2.0,1,0,0,herbi,72.64545454545454,4.380901001386372,0.0953101798043249
Potto,Perodicticus,Primates,0.41573340350957494,0.7290560561089026,0.5402548085467277,0.5426936606581516,0.586981751854252,0.761636084026334,0.7726985068428939,2.0,3.0,2.0,0,0,1,omni,72.64545454545454,4.380901001386372,0.0953101798043249
Rabbit,Oryctolagus,Lagomorpha,0.5087943490142085,0.5363342181704894,0.3519507699904989,0.37069731005364465,0.1902958851246984,0.6342607159915178,0.23556599128121802,5.0,5.0,5.0,1,0,0,herbi,4.84,2.4932054526026954,0.9162907318741552
Raccoon,Procyon,Carnivora,0.569970074617794,0.6593708801977567,0.6455731660994264,0.647057301303971,0.6975429201944775,0.5321004504463606,0.45043891337899267,2.0,2.0,2.0,0,0,0,carni,9.14179104477612,3.6686767467964168,1.4558204237685008
Red fox,Vulpes,Carnivora,0.5684400671540931,0.6845379465444736,0.4535532367389559,0.3599515051702142,0.6857246158747489,0.4062812144189684,0.3916163150100299,1.0,1.0,1.0,0,0,0,carni,11.914893617021274,3.919991175077323,1.4422019930581866
Rock hyrax,Procavia,Hyracoidea,0.5502510423187262,0.5948186063921846,0.14754515513409727,0.12787958078010062,0.06591125389671428,0.23930557627983212,0.8110126765849078,3.0,2.0,3.0,1,0,0,herbi,5.833333333333333,3.044522437723423,1.2809338454620642
Roe deer,Capreolus,Artiodactyla,0.7022631213982482,0.7481750742072295,0.02721438428463396,0.04269636172601231,0.003446556353008277,0.6131900786717582,0.7057951819865124,5.0,5.0,5.0,1,0,0,herbi,6.635135135135135,4.58700621536042,2.694627180770069
Round-tailed muskrat,Neofiber,Rodentia,0.2671610213881255,0.7280975952242306,0.7819438306681796,0.7843013476449701,0.7869156519579643,0.39103151960514293,0.3639149791436725,4.0,2.0,3.0,1,0,0,herbi,297.3684210526316,4.370712874773608,-1.324258970200438
Sheep,Ovis,Artiodactyla,0.8190098124074118,0.7987970273493177,0.05997648808461786,0.032266216505795774,0.09273136755453751,0.6723813312809787,0.7076156860529323,5.0,5.0,5.0,1,0,0,herbi,3.1531531531531534,5.1647859739235145,4.0163830207523885
Short-nosed echidna,Tachyglossus,Monotremata,0.5753832015606172,0.6130894731881922,0.366396793972051,0.4912433899619129,0.45826697348018247,0.9295238715813122,0.20591516327035633,2.0,2.0,2.0,0,1,0,insecti,5.555555555555555,3.218875824868201,1.5040773967762742
Slow loris,Nyctibeus,Primates,0.44283491125089935,0.5398012291497916,0.5402548085467277,0.5350785918111658,0.6184353671289163,0.5033812246907279,0.5586573617810183,2.0,2.0,2.0,0,0,0,carni,8.928571428571429,2.525728644308256,0.3364722366212129
Squirrel monkey,Saimiri,Primates,0.3724834022420736,0.5896804000386097,0.43901300549395567,0.45707970425187966,0.3757194431789963,0.6723813312809787,0.7241961465878152,2.0,3.0,2.0,0,0,1,omni,26.917900403768503,2.995732273553991,-0.2970592342643779
Star-nosed mole,Condylura,Soricomorpha,0.1434563960304193,0.2853090412731495,0.48982937642521246,0.4361515501157698,0.6348421269186132,0.10240478618245782,0.3116426551894447,3.0,1.0,2.0,0,0,1,omni,16.666666666666668,0.0,-2.8134107167600364
Tenrec,Tenrec,Afrosoricida,0.3934604501998674,0.37568115694126025,0.8400164863415104,0.7371485534096368,0.6610114152081665,0.1590547500328815,0.4354895864954632,2.0,1.0,2.0,0,0,1,omni,2.888888888888889,0.9555114450274363,-0.1053605156578262
Thick-tailed opposum,Lutreolina,Didelphimorphia,0.2994836544256498,0.7282165201692434,0.9916491455474075,0.8999232997686247,1.0,0.26427244176057335,0.0,2.0,1.0,1.0,0,0,0,carni,214.0540540540541,4.37197629882038,-0.9942522733438668
Thirteen-lined ground squirrel,Spermophilus,Rodentia,0.18239278808549073,0.41944434766363015,0.7319671495506583,0.6972881747870624,0.8618537404009412,0.3291944257853071,0.20591516327035633,4.0,2.0,3.0,1,0,0,herbi,39.6039603960396,1.3862943611198906,-2.2926347621408776
Three-toed sloth,Bradypus,Pilosa,0.5578383937896431,0.732105579234388,0.7697157877866622,0.8080451306077752,0.6348421269186132,0.8826247873230035,0.7582526906472304,4.0,3.0,3.0,1,0,0,herbi,21.44155844155844,4.413404170366137,1.3480731482996928
Tiger,Panthera,Carnivora,0.8898939762429173,0.8228400692270937,0.8509487010838882,0.8470442696426731,0.8270725099677478,0.7210935788908918,0.6231841763163074,1.0,2.0,1.0,0,0,0,carni,1.446445707536724,5.460181081439595,5.091071770386599
Tree hyrax,Dendrohyrax,Hyracoidea,0.527650912746905,0.5380819226362976,0.14143504396767162,0.12787958078010062,0.06591125389671428,0.31138404350908033,0.7817701599138857,3.0,1.0,3.0,1,0,0,herbi,4.169491525423728,2.509599262378372,1.0818051703517284
Tree shrew,Tupaia,Scandentia,0.18472065687024877,0.37177501114793865,0.3881336341234482,0.8962045531086532,0.7308968628071548,0.037012020071092805,0.3541160395201777,3.0,2.0,2.0,0,0,1,omni,24.03846153846154,0.9162907318741552,-2.2633643798407643
Vervet,Cercopithecus,Primates,0.5814314846621098,0.6983435019156067,0.4680802723779747,0.6099804501933151,0.09273136755453751,0.7354214446825633,0.7940256027669146,4.0,3.0,4.0,0,0,1,omni,12.210526315789474,4.060443010546419,1.55814461804655
Vesper mouse,Calomys,Rodentia,0.12391928756896144,0.006589137720859692,0.25274531357790025,0.23030473528821588,0.33858171324415226,0.2593544807093453,0.13554656737237897,4.0,2.0,3.0,1,0,0,herbi,0.0249999999999999,-6.789972243325754,-3.101092789211817
Vole ,Microtus,Rodentia,0.10794104270807575,0.004433857458635487,0.6659930575975421,0.6690854385359705,0.7112587815514695,0.0,0.12542253980559673,4.0,2.0,3.0,1,0,0,herbi,0.025,-7.04128667160666,-3.3524072174927237
Water opossum,Chironectes,Didelphimorphia,0.5470618991331913,0.416833203796674,0.9916491455474075,0.8733406411813941,1.0,0.07418484890353447,0.02645597654821826,2.0,1.0,1.0,0,0,0,carni,1.1142857142857143,1.3609765531356006,1.252762968495368
Western american chipmunk,Eutamias,Rodentia,0.15553148164618294,0.010990205779430178,0.7999230996682208,0.8041887326287938,0.7972028839673041,0.37125646677432783,0.34943848913526354,4.0,2.0,3.0,1,0,0,herbi,0.025,-6.333954856054758,-2.645075401940822
