Species,Genus,Order,Conservation,BodyWt,BrainWt,TotalSleep,Awake,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger,Vore_class,Vore_herbi,Vore_insecti,Vore_omni,Vore,Conservation_count
Cheetah,Acinonyx,Carnivora,lc,-0.14571177572566804,-0.13615829258429182,0.3360216480476283,-0.33615349618652396,0.31457966146409644,0.26402574377265775,0.07510700981731355,-0.270282903703295,1.0,2.0,1.0,1,0,0,0,carni,30.0
Chimpanzee,Pan,Primates,,-0.1428337590139422,0.26192743561800785,-0.20451240520618397,0.2041763729724159,-0.11415326341969739,-0.4674625200807434,1.8052861415312413,0.7375072261970913,1.0,1.0,1.0,4,0,0,1,omni,
Chinchilla,Chinchilla,Rodentia,domesticated,-0.21057180689265284,-0.28940120801466473,0.4261106569232638,-0.4262084743796807,0.678708994927045,-0.3920513588587432,-0.6746372805920551,-0.130516389337548,5.0,4.0,4.0,3,1,0,0,herbi,10.0
Common porpoise,Phocoena,Cetacea,vu,-0.1415517333878098,-0.132267458521755,-1.1279247461814463,1.1384967717264156,-1.042095758373663,-0.7615660488465438,0.07510700981731355,1.3922030040155904,1.0,2.0,1.0,1,0,0,0,carni,7.0
Cotton rat,Sigmodon,Rodentia,,-0.21092763441337528,-0.29603851318016877,0.15584363029635784,-0.15604353980021096,0.3586275647055822,-0.6936960037467436,-0.9687677329834229,-0.7557876378158899,4.0,2.0,3.0,3,1,0,0,herbi,
Cow,Bos,Artiodactyla,domesticated,0.5737924022057888,0.24031169082613646,-1.4882807816839878,1.4874598122248979,-1.6117819736302113,-0.9953406486347441,0.6518333870552895,1.1126699752840965,5.0,5.0,5.0,3,1,0,0,herbi,10.0
Deer mouse,Peromyscus,Rodentia,,-0.21109377446900673,-0.19725455948131654,0.20088813473417536,-0.2010710288967891,0.18537247862240522,0.1659912341840577,-0.6169646428682576,-0.7293055614097483,4.0,2.0,3.0,3,1,0,0,herbi,
Degu,Octodon,Rodentia,lc,-0.21084652666968118,-0.19702568688940264,-0.6549574495843606,0.6544512639381991,-0.5076478657103032,-0.844518326190744,-0.6746372805920551,-0.292351300708413,4.0,2.0,3.0,3,1,0,0,herbi,30.0
Desert hedgehog,Paraechinus,Erinaceomorpha,lc,-0.21040174226877809,-0.2944872656127521,-0.0693788918927306,0.06909390568268063,-0.3197101452132976,0.5128825758052582,-0.6746372805920551,-0.6969385791355753,2.0,1.0,2.0,2,0,1,0,insecti,30.0
Dog,Canis,Carnivora,domesticated,-0.19280659464481795,-0.20853289220507534,-0.11442339633054852,0.11412139477925919,-0.2815352957373431,0.6637048982492582,-0.1555835410778768,-0.4909668737544745,1.0,2.0,1.0,1,0,0,0,carni,10.0
Domestic cat,Felis,Carnivora,domesticated,-0.2068042213791208,-0.2649881315438453,0.4261106569232638,-0.4262084743796807,0.6493437260993878,1.191583026803259,0.5364881116076943,-0.4909668737544745,1.0,2.0,1.0,1,0,0,0,carni,10.0
Donkey,Equus,Perissodactyla,domesticated,0.03351017404998573,0.23522563322804907,-1.6909810516541675,1.6900835131594998,-1.5765436510370225,-1.2215741323007445,1.2285597642932653,1.730585091427399,5.0,5.0,5.0,3,1,0,0,herbi,10.0
Eastern american chipmunk,Tamias,Rodentia,,-0.21097472923229443,-0.1971401231853596,1.1693449801472557,-1.1691620444732231,1.0927592853970105,0.8446916851820586,-0.6169646428682576,-0.7263631084757326,4.0,2.0,3.0,3,1,0,0,herbi,
Eastern american mole,Scalopus,Soricomorpha,lc,-0.21102313224062802,-0.29601308289217837,-0.49730168405199865,0.4968550521001747,-0.7014586399728402,0.06041560847325747,-0.8764915126253467,-0.6454456527903002,1.0,1.0,1.0,2,0,1,0,insecti,30.0
European hedgehog,Erinaceus,Erinaceomorpha,lc,-0.21011394059760552,-0.2930885997732781,-0.11442339633054852,0.11412139477925919,-0.6133628334898689,1.5686388329132592,-0.7323099183158527,-0.6454456527903002,2.0,2.0,2.0,4,0,0,1,omni,30.0
Galago,Galago,Primates,,-0.2108596085638254,-0.29118132817399534,-0.1819901529872748,0.18166262842412642,0.23822996251218795,-0.6182848425247436,-0.4785503123311433,-0.07166733065723346,2.0,2.0,2.0,4,0,0,1,omni,
Genet,Genetta,Carnivora,,-0.2085048676178679,-0.2752873981799723,-0.9702689806490844,0.969643687614247,-1.1419376723876973,-0.5428736813027434,0.8825239379504798,-0.43947394740919926,1.0,2.0,1.0,1,0,0,0,carni,
Giant armadillo,Priodontes,Cingulata,en,-0.13262988158145975,-0.19454623381033503,1.6873567811821593,-1.6869781690838734,0.9723616832036162,3.0768620573532615,-0.6746372805920551,-0.8462680655368735,1.0,1.0,1.0,2,0,1,0,insecti,4.0
Giraffe,Giraffa,Artiodactyla,cd,0.9662426855849657,0.567090891503251,-1.9612480782810733,1.9602484477389703,-1.861386758665297,-1.2969852935227444,0.5364881116076943,1.988049723153775,5.0,5.0,5.0,3,1,0,0,herbi,2.0
Goat,Capri,Artiodactyla,lc,-0.16729690106361175,-0.15131474422659225,-1.195491502838173,1.1947811330971385,-1.5824167048025541,-1.1461629710787442,0.07510700981731355,0.1343043747238674,5.0,5.0,5.0,3,1,0,0,herbi,30.0
Golden hamster,Mesocricetus,Rodentia,en,-0.21096426371697904,-0.2962673857720827,0.8315111968636231,-0.8314558762488857,0.678708994927045,1.0407607043592586,-0.8534224575358277,-0.8367050935013224,3.0,1.0,2.0,3,1,0,0,herbi,4.0
Golden-mantled ground squirrel,Spermophilus,Rodentia,lc,-0.21085306761675326,-0.2924528425735172,1.1918672323661645,-1.1916757890215122,0.5025173819611022,1.0407607043592586,-0.55929200514446,-0.7484315054808506,5.0,1.0,3.0,3,1,0,0,herbi,30.0
Gorilla,Gorilla,Primates,cr,0.05967396233840234,0.21869594603426507,0.31349939582871955,-0.3136397516382349,0.31751618834686207,0.08303895683985736,1.188188917886607,0.8993421375679563,1.0,4.0,1.0,3,1,0,0,herbi,1.0
Gray hyrax,Heterohyrax,Hyracoidea,lc,-0.20768724923385487,-0.2819374184894715,-0.9702689806490844,0.969643687614247,-0.7866179195730459,-1.0707518098567441,-0.270928816525472,0.7227949615270127,3.0,2.0,3.0,3,1,0,0,herbi,30.0
Gray seal,Haliochoerus,Carnivora,lc,-0.09992514622093898,0.11570327967299551,-0.9927912328679932,0.9921574321625365,-1.1713029412153542,-0.3920513588587432,1.286232402017063,1.3259978130002366,1.0,3.0,1.0,1,0,0,0,carni,30.0
Gray wolf,Canis,Carnivora,lc,-0.1635947250208008,-0.14559292942874394,0.538721918017808,-0.5387771971211265,0.48196169378174214,0.4827181113164581,-0.14404901353311733,-0.4909668737544745,1.0,1.0,1.0,1,0,0,0,carni,30.0
Greater short-tailed shrew,Blarina,Soricomorpha,lc,-0.21109639084783555,-0.2971701609957433,0.966644710177076,-0.9665383435386206,1.0340287477416965,0.21123793091725748,-0.9053278314872455,-0.7925682994910864,3.0,1.0,2.0,4,0,0,1,omni,30.0
Guinea pig,Cavis,Rodentia,domesticated,-0.2101688845530112,-0.29054557097423445,-0.27207916186291026,0.2717176066172831,-0.37844068286861166,-0.9199294874127439,-0.6400336979577766,-0.4541862120792779,5.0,3.0,4.0,3,1,0,0,herbi,10.0
Horse,Equus,Perissodactyla,domesticated,0.47044543846654313,0.5353030315152048,-1.7360255560919848,1.735111002256079,-1.9347999307344397,-0.9199294874127439,1.574595590636051,1.517257253711259,5.0,5.0,5.0,3,1,0,0,herbi,10.0
House mouse,Mus,Rodentia,nt,-0.21109246627959233,-0.29703029441179585,0.4261106569232638,-0.4262084743796807,0.9429964143759592,-0.5428736813027434,-0.893793303942486,-0.8146366964962044,4.0,1.0,3.0,3,1,0,0,herbi,4.0
Human,Homo,Primates,,-0.13001350275261808,1.3808601071972326,-0.5873906929276341,0.5869100302933314,-0.7601891776281545,-0.09040671397074287,4.688918027721121,1.009684122593546,1.0,1.0,1.0,4,0,0,1,omni,
Jaguar,Panthera,Carnivora,nt,-0.08030230500462653,-0.09791113944667469,-0.04685663967382183,0.046580161134391555,-0.06716883329544594,0.07549784071765751,0.21352134035442769,-0.2187899773580198,1.0,1.0,1.0,1,0,0,0,carni,4.0
Laboratory rat,Rattus,Rodentia,lc,-0.2107026258340949,-0.29512302281251307,0.538721918017808,-0.5387771971211265,0.5612479196164163,0.437471414583258,-0.8072843473567897,-0.7999244318261258,3.0,1.0,3.0,3,1,0,0,herbi,30.0
Lesser short-tailed shrew,Cryptotis,Soricomorpha,lc,-0.21111470549963746,-0.2973608881556715,-0.33964591851963694,0.33925884026215075,-0.2903448763856403,-0.4674625200807434,-0.9283968865767644,-0.7962463656586062,5.0,2.0,4.0,4,0,0,1,omni,30.0
Lion,Panthera,Carnivora,vu,0.0001500357928401254,0.00013533590045490163,0.6513331791123522,-0.6513459198625723,0.6023592959751365,0.4827181113164581,0.07510700981731355,-0.10844799233243005,1.0,2.0,1.0,1,0,0,0,carni,7.0
Little brown bat,Myotis,Chiroptera,,-0.21110816455256537,-0.29722102157172414,2.0927573211225177,-2.0922255709530786,2.7049125440353863,-0.0149955527487427,0.3057975607125039,-0.5865965941099857,1.0,1.0,1.0,2,0,1,0,insecti,
Long-nosed armadillo,Dasypus,Cingulata,lc,-0.20654258349623666,-0.28380654465676863,1.5297010156497968,-1.5293819572458496,1.6477628662397303,0.8145272206932586,-0.7034735994539539,-0.07166733065723346,2.0,1.0,1.0,1,0,0,0,carni,30.0
Macaque,Macaca,Primates,,-0.2022255584286479,-0.06993782265719407,-0.11442339633054852,0.11412139477925919,-0.08478799459204037,-0.6182848425247436,0.5941607493314919,0.25200249208449643,2.0,3.0,2.0,4,0,0,1,omni,
Mole rat,Spalax,Rodentia,,-0.2109616473381502,-0.29372435697303906,-0.001812135236004305,0.0015526720378133984,-0.14351853224735495,0.28664909213925766,-0.6400336979577766,-0.7337192408107719,2.0,1.0,1.0,2,0,1,0,insecti,
Mongolian gerbil,Meriones,Rodentia,lc,-0.21105191240774526,-0.19721641404933088,0.8089889446447139,-0.8089421317005963,0.9253772530793648,-0.09040671397074287,-0.8476551937634479,-0.7631437701509292,4.0,2.0,3.0,3,1,0,0,herbi,30.0
Mongoose lemur,Lemur,Primates,vu,-0.2089365701246268,-0.195245566730072,-0.24955690964400148,0.24920386206899406,-0.055422725764383333,-0.844518326190744,0.6518333870552895,-0.005462139641879617,2.0,3.0,2.0,3,1,0,0,herbi,7.0
Mountain beaver,Aplodontia,Rodentia,nt,-0.20935519073724146,-0.28723963353547766,0.8540334490825319,-0.8539696207971748,-0.08478799459204037,0.588293737027258,-0.5304556862825611,-0.6233772557851822,3.0,1.0,3.0,3,1,0,0,herbi,4.0
Musk shrew,Suncus,Soricomorpha,lc,-0.21105845335481735,-0.29711930041976237,0.49367741357999045,-0.4937497080245483,0.6199784572717308,-0.0149955527487427,-0.9630004692110431,-0.7337192408107719,4.0,1.0,3.0,2,0,1,0,insecti,30.0
North American Opossum,Didelphis,Didelphimorphia,lc,-0.20889732444219417,-0.2895283594546169,1.66483452896325,-1.6644644245355844,1.5009365221014448,2.699806251243261,-0.7899825560396503,-0.8661296228414797,2.0,1.0,1.0,4,0,0,1,omni,30.0
Northern fur seal,Callorhinus,Carnivora,vu,-0.18431644534522673,-0.17223115609872663,-0.42973492739527236,0.42931381845530747,-0.3373293065098918,-0.4674625200807434,0.4211428361600991,1.6790921650821238,1.0,2.0,1.0,1,0,0,0,carni,7.0
Northern grasshopper mouse,Onychomys,Rodentia,lc,-0.21108461714310578,-0.19724184433732134,0.8765557013014406,-0.8764833653454639,0.8196622852997992,0.6410815498826583,-0.9053278314872455,-0.6748701821304574,4.0,2.0,3.0,1,0,0,0,carni,30.0
Owl monkey,Aotus,Primates,,-0.21049331552778758,-0.27783042697901594,1.4396120067741616,-1.4393269790526928,1.912050285688644,-0.16581787519274288,-0.38627409197306717,0.07545531604355286,2.0,2.0,2.0,4,0,0,1,omni,
Patas monkey,Erythrocebus,Primates,lc,-0.19803935230250125,-0.15131474422659225,0.06575462142072237,-0.06598856160705424,0.38505630665047363,-0.844518326190744,0.08664153736207303,0.29613928609473233,4.0,4.0,4.0,4,0,0,1,omni,30.0
Phalanger,Phalanger,Diprotodontia,,-0.2090019795953478,-0.2830436360170555,0.6963776835501697,-0.6963734089591505,0.9429964143759592,-0.16581787519274288,-0.32860145424926956,-0.8293489611662831,2.0,1.0,2.0,3,1,0,0,herbi,
Pig,Sus,Artiodactyla,domesticated,-0.09828990945291294,-0.06866630825767223,-0.33964591851963694,0.33925884026215075,-0.642728102317526,-0.09040671397074287,0.47881547388389667,-0.10844799233243005,4.0,4.0,4.0,4,0,0,1,omni,10.0
Pilot whale,Globicephalus,Cetacea,cd,0.8354302850899549,0.7806671651909355,-1.7810700605298027,1.7913953636268019,-1.6411472424578684,-1.4478076159667446,2.3820125187692174,2.399993133915977,1.0,2.0,1.0,1,0,0,0,carni,2.0
Potoroo,Potorous,Diprotodontia,,-0.20968223809084666,-0.19593218450581384,0.1107991258585399,-0.1110160507036324,0.22648385498112536,-0.3920513588587432,-0.4439467296968648,-0.6748701821304574,2.0,1.0,2.0,3,1,0,0,herbi,
Potto,Perodicticus,Primates,lc,-0.20968223809084666,-0.19593218450581384,0.08827687363963115,-0.08850230615534331,0.11195930655326239,0.007627795617857184,0.4211428361600991,0.46533032980063666,2.0,3.0,2.0,4,0,0,1,omni,30.0
Rabbit,Oryctolagus,Lagomorpha,domesticated,-0.20785077291065748,-0.28215357593739027,-0.49730168405199865,0.4968550521001747,-0.34907541404095466,-0.844518326190744,-0.04023826563028163,-0.7263631084757326,5.0,5.0,5.0,3,1,0,0,herbi,10.0
Raccoon,Procyon,Carnivora,,-0.20551173023767302,-0.2476955357103482,0.4261106569232638,-0.4262084743796807,0.40267546794706804,0.3243546727502579,-0.2882306078426113,-0.4909668737544745,2.0,2.0,2.0,1,0,0,0,carni,
Red fox,Vulpes,Carnivora,,-0.20558760522370947,-0.23345457443570353,-0.1819901529872748,0.18166262842412642,-0.37844068286861166,0.28664909213925766,-0.5131538949654219,-0.571884329439907,1.0,1.0,1.0,1,0,0,0,carni,
Rock hyrax,Procavia,Hyracoidea,lc,-0.20641176455479457,-0.27083709778164583,-1.172969250619264,1.17226738854885,-1.11257240356004,-1.1461629710787442,-0.7323099183158527,0.7007265645218947,3.0,2.0,3.0,3,1,0,0,herbi,30.0
Roe deer,Capreolus,Artiodactyla,lc,-0.19176004311328126,-0.17267618613855923,-1.7135033038730763,1.7125972577077895,-1.5383688015610684,-1.4176431514779446,-0.09791090335407922,0.14901663939394602,5.0,5.0,5.0,3,1,0,0,herbi,30.0
Round-tailed muskrat,Neofiber,Rodentia,nt,-0.21077326806247362,-0.19696211116942655,0.8990779535203494,-0.8989971098937529,0.8402179734791594,0.6561637821270583,-0.5362229500549409,-0.6049869249475839,4.0,2.0,3.0,3,1,0,0,herbi,4.0
Sheep,Ovis,Artiodactyla,domesticated,-0.13851673394635347,-0.07502388025528146,-1.5333252861218054,1.532487301321476,-1.6117819736302113,-1.0707518098567441,0.07510700981731355,0.15637277172898534,5.0,5.0,5.0,3,1,0,0,herbi,10.0
Short-nosed echidna,Tachyglossus,Monotremata,,-0.20523439408181582,-0.26575104018355844,-0.45225717961418116,0.45182756300359656,-0.02605745693672631,-0.29401684927014315,1.8052861415312413,-0.7484315054808506,2.0,2.0,2.0,2,0,1,0,insecti,
Slow loris,Nyctibeus,Primates,,-0.2092897812665204,-0.2816449701775815,0.08827687363963115,-0.08850230615534331,0.09140361837390232,0.09058007296205754,-0.3459032455664089,-0.292351300708413,2.0,2.0,2.0,1,0,0,0,carni,
Squirrel monkey,Saimiri,Primates,,-0.2101492617117949,-0.27210861218116766,-0.2270346574250927,0.22669011752070498,-0.11708979030246355,-0.4674625200807434,0.07510700981731355,0.22625602891185884,2.0,3.0,2.0,4,0,0,1,omni,
Star-nosed mole,Condylura,Soricomorpha,lc,-0.2110427550818443,-0.2962673857720827,-0.0693788918927306,0.06909390568268063,-0.17288380107501197,0.13582676969525764,-0.8764915126253467,-0.6601579174603788,3.0,1.0,2.0,4,0,0,1,omni,30.0
Tenrec,Tenrec,Afrosoricida,,-0.20994387597373082,-0.29423296273284777,1.1243004757094377,-1.1241345553766446,0.678708994927045,0.21123793091725748,-0.8188188749015491,-0.5130352707595924,2.0,1.0,2.0,4,0,0,1,omni,
Thick-tailed opposum,Lutreolina,Didelphimorphia,lc,-0.21063721636337385,-0.19683495972947432,1.9801460600279734,-1.9796568482116328,1.3453005973148617,3.453917863463262,-0.7034735994539539,-0.8661296228414797,2.0,1.0,1.0,1,0,0,0,carni,30.0
Thirteen-lined ground squirrel,Spermophilus,Rodentia,lc,-0.21098911931585307,-0.2924528425735172,0.7188999357690788,-0.7188871535074399,0.5524383389681193,1.0407607043592586,-0.6227319066406373,-0.7484315054808506,4.0,2.0,3.0,3,1,0,0,herbi,30.0
Three-toed sloth,Bradypus,Pilosa,,-0.20608471720118937,-0.1925753864910762,0.8540334490825319,-0.8539696207971748,0.9283137799621304,0.13582676969525764,1.2285597642932653,0.3880909402827238,4.0,3.0,3.0,3,1,0,0,herbi,
Tiger,Panthera,Carnivora,en,0.0015432575191983069,0.0014449957319623687,1.1693449801472557,-1.1691620444732231,1.0868862316314791,0.8446916851820586,0.24812492298870634,-0.130516389337548,1.0,2.0,1.0,1,0,0,0,carni,4.0
Tree hyrax,Dendrohyrax,Hyracoidea,lc,-0.20726208767416812,-0.28189927305748586,-1.195491502838173,1.1947811330971385,-1.11257240356004,-1.1461629710787442,-0.6458009617301563,0.5168232561459118,3.0,1.0,3.0,3,1,0,0,herbi,30.0
Tree shrew,Tupaia,Scandentia,,-0.21098519474760977,-0.29436011417279995,-0.3846904229574544,0.3842863293587289,1.3247449091355015,0.437471414583258,-0.9456986778939037,-0.6160211234501429,3.0,2.0,2.0,4,0,0,1,omni,
Vervet,Cercopithecus,Primates,lc,-0.20490734672821062,-0.22379106499933749,-0.13694564854945726,0.13663513932754828,0.29696050016750203,-1.0707518098567441,0.3057975607125039,0.590384579496305,4.0,3.0,4.0,4,0,0,1,omni,30.0
Vesper mouse,Calomys,Rodentia,,-0.21106237792306065,-0.1972291291933261,-0.8126132151167225,0.812047475776223,-0.7631257045109202,-0.5428736813027434,-0.6919390719091945,-0.7940395259580943,4.0,2.0,3.0,3,1,0,0,herbi,
Vole ,Microtus,Rodentia,,-0.21107545981720482,-0.19724184433732134,0.49367741357999045,-0.4937497080245483,0.4614060056023821,0.3696013694834577,-1.0033713156177013,-0.7999244318261258,4.0,2.0,3.0,3,1,0,0,herbi,
Water opossum,Chironectes,Didelphimorphia,lc,-0.20654258349623666,-0.2925799940134694,1.9801460600279734,-1.9796568482116328,1.2072838338248735,3.453917863463262,-0.9053278314872455,-0.851417358171401,2.0,1.0,1.0,1,0,0,0,carni,30.0
Western american chipmunk,Eutamias,Rodentia,,-0.21102836499828567,-0.19719098376134048,0.966644710177076,-0.9665383435386206,0.9048215649000046,0.7014104788602584,-0.5535247413720802,-0.6344114542877412,4.0,2.0,3.0,3,1,0,0,herbi,
