Species,Genus,Order,Conservation,BodyWt,BrainWt,TotalSleep,Awake,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger,Vore_herbi,Vore_insecti,Vore_omni,Vore,Conservation_count,LogBrainWt,LogBodyWt,BrainBodyRatio
Mole rat,Spalax,Rodentia,,0.19368607798117166,0.16724079968032285,0.5115259796839868,0.48840984280522953,0.47784825388534746,0.674981853409887,0.32671288447608776,0.23400179448971115,2.0,1.0,1.0,0,1,0,insecti,,1.0986122886681098,-2.1037342342488805,24.59016393442623
Mongolian gerbil,Meriones,Rodentia,lc,0.12837043790788683,0.6494149050541316,0.7387077414861598,0.2613898411045935,0.7956569109539506,0.5501227434251375,0.1375239653503233,0.19162604372830833,4.0,2.0,3.0,1,0,0,herbi,30.0,4.368181227851829,-2.9374633654300153,1488.679245283019
Mongoose lemur,Lemur,Primates,vu,0.4566517266556011,0.6523930256979036,0.4396633964158042,0.5602063965319494,0.5063494204874138,0.21649438991740988,0.7973593796398022,0.6569535669830446,2.0,3.0,2.0,1,0,0,herbi,7.0,4.387635873438392,0.5128236264286637,48.17365269461078
Mountain beaver,Aplodontia,Rodentia,nt,0.4332846765845939,0.2935716588509242,0.7508840110789168,0.24921863546936257,0.4968723110251279,0.7552733733047917,0.4024317455975972,0.3543108635111615,3.0,1.0,3.0,1,0,0,herbi,4.0,2.0918640616783932,0.30010459245033816,5.999999999999999
Musk shrew,Suncus,Soricomorpha,lc,0.1213749309092767,0.021318945723399468,0.6519124871150138,0.3481358335751331,0.7132733950755872,0.5774002316597041,0.021191046421815976,0.23400179448971115,4.0,1.0,3.0,0,1,0,insecti,30.0,-1.1086626245216111,-3.036554268074246,6.875
North American Opossum,Didelphis,Didelphimorphia,lc,0.4586132824058128,0.258607932166138,0.9446033272210442,0.055466907120684854,0.918014279059089,0.9826406955401144,0.19681438887610897,0.005016324849760601,2.0,1.0,1.0,0,0,1,omni,30.0,1.840549633397487,0.5306282510621704,3.7058823529411766
Northern fur seal,Callorhinus,Carnivora,vu,0.7240712426207168,0.6830249430117148,0.38665345895701453,0.6131664912272463,0.4145961609951761,0.39587728455773485,0.7521650875964543,0.9134048992472186,1.0,2.0,1.0,0,0,0,carni,7.0,4.590564033598729,3.0199369622508083,4.809663250366032
Northern grasshopper mouse,Onychomys,Rodentia,lc,0.08621828297400225,0.6493760521726966,0.7569457118388373,0.24315925296648022,0.7682243165375169,0.7676722430315249,0.07539911670509986,0.304228360831303,4.0,2.0,3.0,0,0,0,carni,30.0,4.36792771029438,-3.575550768806933,2817.142857142857
Owl monkey,Aotus,Primates,,0.3231064981894175,0.3908020370061105,0.8985515548636599,0.10155380324622126,0.9699131109874594,0.5216557757053732,0.48426569660191315,0.6794424210629231,2.0,2.0,2.0,0,0,1,omni,,2.740840023925201,-0.7339691750802004,32.29166666666667
Patas monkey,Erythrocebus,Primates,lc,0.6517154048896908,0.7057339913117691,0.5309262937186564,0.469026676539854,0.6443314133697496,0.21649438991740988,0.6675872050912262,0.7318974512742069,4.0,4.0,4.0,0,0,1,omni,30.0,4.74493212836325,2.302585092994046,11.5
Phalanger,Phalanger,Diprotodontia,,0.4533045765065583,0.3437050906736042,0.7079940273040611,0.29208856699565033,0.8001040336631362,0.5216557757053732,0.512607535593026,0.07121093104456518,2.0,1.0,2.0,1,0,0,herbi,,2.4336133554004498,0.4824261492442928,7.037037037037037
Pig,Sus,Artiodactyla,domesticated,0.8472814672432365,0.768100992696058,0.413237707532473,0.586607249997788,0.3148019362964314,0.5501227434251375,0.7643180569130995,0.6250531847352315,4.0,4.0,4.0,0,0,1,omni,10.0,5.19295685089021,4.457250055911469,2.0869565217391304
Pilot whale,Globicephalus,Cetacea,cd,0.9616384865127242,0.9281689891254739,0.018527615229280345,0.9827951608686949,0.042862756480673454,0.004749773321730391,0.9619447389508481,0.9589415588228424,1.0,2.0,1.0,0,0,0,carni,2.0,6.742845257807619,6.684611727667927,1.0599625000000001
Potoroo,Potorous,Diprotodontia,,0.4109449855049771,0.651362814522631,0.5438142727942463,0.45614986985056194,0.5957340743982894,0.42907731555562106,0.453585529461822,0.304228360831303,2.0,1.0,2.0,1,0,0,herbi,,4.380901001386372,0.09531017980432493,72.64545454545454
Potto,Perodicticus,Primates,lc,0.4109449855049771,0.651362814522631,0.5373748022160332,0.46258378150237717,0.5598171646219139,0.5853537267199874,0.7521650875964543,0.7653688912994541,2.0,3.0,2.0,0,0,1,omni,30.0,4.380901001386372,0.09531017980432493,72.64545454545454
Rabbit,Oryctolagus,Lagomorpha,domesticated,0.501221630930854,0.3527080985196276,0.3666134344994799,0.6331877735937492,0.41074864137459643,0.21649438991740988,0.6275706571221438,0.24373976101190675,5.0,5.0,5.0,1,0,0,herbi,10.0,2.4932054526026954,0.9162907318741551,4.84
Raccoon,Procyon,Carnivora,,0.5607271930641394,0.5390077488272016,0.6330287030798017,0.3670064049328644,0.6496380523508574,0.6859300108776735,0.5312065313431293,0.45307123362982615,2.0,2.0,2.0,0,0,0,carni,,3.6686767467964168,1.4558204237685008,9.14179104477612
Red fox,Vulpes,Carnivora,,0.5592334383872515,0.579246968594008,0.45937856770018415,0.5405096303493518,0.4011272473774958,0.674981853409887,0.41320759298458204,0.3969218718732769,1.0,1.0,1.0,0,0,0,carni,,3.919991175077323,1.4422019930581866,11.914893617021274
Rock hyrax,Procavia,Hyracoidea,lc,0.5415013643175965,0.4386977991413559,0.1642495731140063,0.8354022604271133,0.16902709053934384,0.07820064054893397,0.25089889659094233,0.8047775734352549,3.0,2.0,3.0,1,0,0,herbi,30.0,3.044522437723423,1.2809338454620642,5.833333333333333
Roe deer,Capreolus,Artiodactyla,lc,0.6919548530562213,0.6824951718630214,0.028829034417994687,0.9709517491699237,0.06221477657489235,0.007582155217947829,0.6075306937397655,0.6982365184916124,5.0,5.0,5.0,1,0,0,herbi,30.0,4.58700621536042,2.6946271807700692,6.635135135135135
Round-tailed muskrat,Neofiber,Rodentia,nt,0.2644068065313009,0.6498028308490071,0.7629886062113536,0.2371185294610434,0.7736555847920744,0.77112837187717,0.3987744827403627,0.3702725401104343,4.0,2.0,3.0,1,0,0,herbi,4.0,4.370712874773608,-1.324258970200438,297.36842105263156
Sheep,Ovis,Artiodactyla,domesticated,0.8131861034423997,0.7643536216440006,0.06608004892107067,0.9336067427197259,0.04807504234186089,0.10958787403623615,0.6641603043822057,0.700037978501695,5.0,5.0,5.0,1,0,0,herbi,10.0,5.1647859739235145,4.0163830207523885,3.1531531531531534
Short-nosed echidna,Tachyglossus,Monotremata,,0.5660150538193329,0.4665890090812393,0.3799829772047138,0.619830718279746,0.5158006328529031,0.47051062405603483,0.9302432639157618,0.21353845441729746,2.0,2.0,2.0,0,1,0,insecti,,3.2188758248682006,1.5040773967762742,5.555555555555555
Slow loris,Nyctibeus,Primates,,0.4372694276001285,0.35765044835468174,0.5373748022160332,0.46258378150237717,0.5533081721730163,0.6136208317416522,0.5043329804317923,0.5558817927889524,2.0,2.0,2.0,0,0,0,carni,,2.5257286443082556,0.3364722366212129,8.928571428571429
Squirrel monkey,Saimiri,Primates,,0.36876196634478353,0.4309351252251821,0.44624498969243703,0.5536309636866058,0.48641991427143244,0.39587728455773485,0.6641603043822057,0.7165058424527935,2.0,3.0,2.0,0,0,1,omni,,2.995732273553991,-0.2970592342643779,26.917900403768506
Star-nosed mole,Condylura,Soricomorpha,lc,0.13736161437945144,0.07110313489047133,0.4920421491217641,0.5078761065268188,0.46830531614826865,0.6284532028711756,0.1064667369020445,0.31944485918681986,3.0,1.0,2.0,0,0,1,omni,30.0,0.0,-2.8134107167600364,16.666666666666668
Tenrec,Tenrec,Afrosoricida,,0.3892544654429309,0.1519425322736434,0.8221332604748408,0.17798663325326158,0.7298237052040197,0.6522710915876363,0.16776328345923125,0.43884351610344496,2.0,1.0,2.0,0,0,1,omni,,0.9555114450274363,-0.10536051565782628,2.888888888888889
Thick-tailed opposum,Lutreolina,Didelphimorphia,lc,0.296749123558227,0.6499963837006065,0.9871239901295787,0.012885839811335193,0.8901197114077753,0.9937638553955426,0.27594173832950775,0.005016324849760601,2.0,1.0,1.0,0,0,0,carni,30.0,4.37197629882038,-0.9942522733438669,214.05405405405406
Thirteen-lined ground squirrel,Spermophilus,Rodentia,lc,0.1778988336415815,0.20036675613632204,0.7141653157166632,0.2859205286801868,0.6938793251127848,0.84702983749004,0.33960958850634737,0.21353845441729746,4.0,2.0,3.0,1,0,0,herbi,30.0,1.3862943611198906,-2.2926347621408776,39.603960396039604
Three-toed sloth,Bradypus,Pilosa,,0.5488925618252208,0.6563271251111169,0.7508840110789168,0.24921863546936257,0.7964006705153381,0.6284532028711756,0.8789337560928744,0.7507013786784349,4.0,3.0,3.0,1,0,0,herbi,,4.413404170366137,1.3480731482996928,21.441558441558442
Tiger,Panthera,Carnivora,en,0.8897680217601751,0.8023415305864212,0.8336076274660438,0.16651266308330215,0.8349606465883825,0.8111947624932583,0.7117171316440755,0.6176629300263543,1.0,2.0,1.0,0,0,0,carni,4.0,5.460181081439595,5.091071770386599,1.446445707536724
Tree hyrax,Dendrohyrax,Hyracoidea,lc,0.5195244940911821,0.355196881100713,0.15765502798101388,0.8419949326869021,0.16902709053934384,0.07820064054893397,0.3223276830568599,0.7746321969654686,3.0,1.0,3.0,1,0,0,herbi,30.0,2.509599262378372,1.0818051703517284,4.169491525423728
Tree shrew,Tupaia,Scandentia,,0.1803082678580215,0.14789085488618842,0.3999652690988116,0.5998671938862576,0.886120123990326,0.7171848442604987,0.03525324128146918,0.3608030827575336,3.0,2.0,2.0,0,0,1,omni,,0.9162907318741551,-2.2633643798407643,24.03846153846154
Vervet,Cercopithecus,Primates,lc,0.5719291589153079,0.6015114486559825,0.4724729750786128,0.5274273500699208,0.6175102537160073,0.10958787403623615,0.7259121799235722,0.7872125044238343,4.0,3.0,4.0,0,0,1,omni,30.0,4.060443010546419,1.55814461804655,12.210526315789474
Vesper mouse,Calomys,Rodentia,,0.1169079210790489,0.6493954799863344,0.2721333298107539,0.7275843773492157,0.2760452836742886,0.3615872068809784,0.28560248943912614,0.14012881920625925,4.0,2.0,3.0,1,0,0,herbi,,4.368054477106998,-3.101092789211817,1753.111111111111
Vole ,Microtus,Rodentia,,0.10018283078714763,0.6493760521726966,0.6519124871150138,0.3481358335751331,0.667177992812325,0.6987154607678544,0.0028685270133181765,0.12938484576566667,4.0,2.0,3.0,1,0,0,herbi,,4.36792771029438,-3.3524072174927233,2253.7142857142853
Water opossum,Chironectes,Didelphimorphia,lc,0.5383968249563076,0.19732846877452215,0.9871239901295787,0.012885839811335193,0.8619396416425984,0.9937638553955426,0.07539911670509986,0.02624153329815398,2.0,1.0,1.0,0,0,0,carni,30.0,1.3609765531356006,1.252762968495368,1.1142857142857143
Western american chipmunk,Eutamias,Rodentia,,0.14997525274694734,0.6494537469549764,0.7809944245780958,0.21911830157870688,0.7904221514270908,0.7812696274506178,0.38759997742686547,0.3442876961726553,4.0,2.0,3.0,1,0,0,herbi,,4.368434681154414,-2.645075401940822,1111.549295774648
