Species,Genus,Order,Conservation,BodyWt,BrainWt,TotalSleep,Awake,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger,Vore_herbi,Vore_insecti,Vore_omni,Vore,Conservation_count,LogBrainWt,LogBodyWt,BrainBodyRatio
Goat,Capri,Artiodactyla,lc,0.8192487490905831,0.7207525552738533,0.14464922492158677,0.8550796282552702,0.05422134186636363,0.07466395964926138,0.6717396374320928,0.7011254160108626,5.0,5.0,5.0,1,0,0,herbi,30.0,4.74493212836325,3.5115454388310208,3.4328358208955225
Golden hamster,Mesocricetus,Rodentia,en,0.18505309709817686,0.07241402805662096,0.7592076449351034,0.2408585405061961,0.74124122339337,0.8572928001817133,0.12726316203780463,0.06049378037148631,3.0,1.0,2.0,1,0,0,herbi,4.0,0.0,-2.120263536200091,8.333333333333334
Golden-mantled ground squirrel,Spermophilus,Rodentia,lc,0.2357419280954503,0.20089870902198498,0.850870014133108,0.1491993227135014,0.6861225144481863,0.8572928001817133,0.37594019206296264,0.20910006622926408,5.0,1.0,3.0,1,0,0,herbi,30.0,1.3862943611198906,-1.584745299843729,19.51219512195122
Gorilla,Gorilla,Primates,cr,0.9331758800515899,0.8696621124090989,0.6085294421082251,0.39147787521366256,0.6238194663412621,0.6152067407693526,0.8769207337867096,0.8358407035862323,1.0,4.0,1.0,1,0,0,herbi,1.0,6.0063531596017325,5.332718793265369,1.961352657004831
Gray hyrax,Heterohyrax,Hyracoidea,lc,0.5396195044472807,0.3593802383050514,0.2076805160316864,0.7920672044692099,0.2344573629088625,0.10103553420309852,0.5402155316370121,0.8122741705548928,3.0,2.0,3.0,1,0,0,herbi,30.0,2.50715725872282,0.965080896043587,4.674285714285714
Gray seal,Haliochoerus,Carnivora,lc,0.8871025638786034,0.8481407255052753,0.20113931573854377,0.7986055833534702,0.1300723666561558,0.41516323528441673,0.8868363117469686,0.8815581932831777,1.0,3.0,1.0,0,0,0,carni,30.0,5.783825182329737,4.442651256490317,3.823529411764706
Gray wolf,Canis,Carnivora,lc,0.8259960434614975,0.7261954413182551,0.6761523856911165,0.32388771633282776,0.6794046538159958,0.7407997077228679,0.5949311671872181,0.45161227208299803,1.0,1.0,1.0,0,0,0,carni,30.0,4.783316371371566,3.5926438462331105,3.289292595650977
Greater short-tailed shrew,Blarina,Soricomorpha,lc,0.05871228967587059,0.01639823334095193,0.7951566777777295,0.20491451953981904,0.8366561749303871,0.6598099845484264,0.07661815333436521,0.14175062869756822,3.0,1.0,2.0,0,0,1,omni,30.0,-1.2378743560016174,-3.9633162998156966,15.26315789473684
Guinea pig,Cavis,Rodentia,domesticated,0.3779986788815386,0.241479875127657,0.42425241343193404,0.5756346465168505,0.3716074487467503,0.16279318118334601,0.3168514014503428,0.4747757814520654,5.0,3.0,4.0,1,0,0,herbi,10.0,1.7047480922384253,-0.3174542307854511,7.554945054945055
Horse,Equus,Perissodactyla,domesticated,0.9646420726465844,0.9090080483825835,0.028448542673868118,0.9713662283673682,0.018639860977954885,0.16279318118334601,0.9117059522247741,0.8981199109661312,5.0,5.0,5.0,1,0,0,herbi,10.0,6.484635235635252,6.255750041753367,1.2571976967370442
House mouse,Mus,Rodentia,nt,0.06627550834429716,0.026709216013795167,0.6426786744740705,0.35734628832070137,0.8144031097679235,0.3427737080386436,0.0877444926063709,0.10295403642287831,4.0,1.0,3.0,1,0,0,herbi,4.0,-0.916290731874155,-3.816712825623821,18.181818181818183
Human,Homo,Primates,,0.8664571615231919,0.9509855471503361,0.3242223332375732,0.6755939156020823,0.24265042442018764,0.5482399088707123,0.9978774873297702,0.8490308912461302,1.0,1.0,1.0,0,0,1,omni,,7.1853870155804165,4.127134385045092,21.29032258064516
Jaguar,Panthera,Carnivora,nt,0.8968230493349296,0.7633765664886485,0.49596965744235555,0.5039677167270327,0.4851924062112736,0.6124528880776964,0.7112635517792916,0.5899637664928893,1.0,1.0,1.0,0,0,0,carni,4.0,5.056245805348308,4.605170185988092,1.57
Laboratory rat,Rattus,Rodentia,lc,0.28251251541237243,0.12215328053572899,0.6761523856911165,0.32388771633282776,0.7050002635470515,0.7285264373427822,0.1719491249457159,0.12923206587051117,3.0,1.0,3.0,1,0,0,herbi,30.0,0.6418538861723947,-1.1394342831883648,5.9375
Lesser short-tailed shrew,Cryptotis,Soricomorpha,lc,0.0005995959686087384,0.0016992940386459123,0.4027059865019012,0.5971656335217401,0.4033753639959149,0.3792902239411034,0.05500190078502148,0.13554190979654845,5.0,2.0,4.0,0,0,1,omni,30.0,-1.9661128563728327,-5.298317366548036,28.000000000000004
Lion,Panthera,Carnivora,vu,0.9220358948705423,0.8126206441188057,0.7088390550586727,0.2912134479288182,0.71792238035097,0.7407997077228679,0.6717396374320928,0.6304779739285743,1.0,2.0,1.0,0,0,0,carni,7.0,5.455791090372227,5.084498950693076,1.4496064991114497
Little brown bat,Myotis,Chiroptera,,0.029332640459883902,0.012471580215274392,0.9928029969940646,0.007186849850568279,0.9985237158564205,0.5782820173859526,0.7345209862430823,0.38137225960177623,1.0,1.0,1.0,0,1,0,insecti,,-1.3862943611198906,-4.605170185988091,25.0
Long-nosed armadillo,Dasypus,Cingulata,lc,0.5758573664628484,0.3393665681432313,0.9219856745517143,0.0780590721972448,0.944925428672483,0.8172344360053444,0.26550614683605234,0.6426372597952471,2.0,1.0,1.0,0,0,0,carni,30.0,2.379546134130174,1.252762968495368,3.085714285714286
Macaque,Macaca,Primates,,0.6566136988837197,0.7802428477036327,0.4745050855944638,0.5254175122036401,0.4787093455022604,0.3059029670001758,0.7945505187449294,0.7287734605821133,2.0,3.0,2.0,0,0,1,omni,,5.187385805840755,1.916922612182061,26.323529411764707
Mole rat,Spalax,Rodentia,,0.18652221389441642,0.16773883357453773,0.5102367961227073,0.4897102080945053,0.4571002756248486,0.6841097988463977,0.3168514014503428,0.22898522694626988,2.0,1.0,1.0,0,1,0,insecti,,1.0986122886681098,-2.1037342342488805,24.59016393442623
Mongolian gerbil,Meriones,Rodentia,lc,0.12013032362878817,0.6648226121513285,0.7530552728708475,0.24700963335583753,0.8099153957789802,0.5482399088707123,0.13290929786062305,0.18801760785066135,4.0,2.0,3.0,1,0,0,herbi,30.0,4.368181227851829,-2.9374633654300153,1488.679245283019
Mongoose lemur,Lemur,Primates,vu,0.4820612107522493,0.667813496686136,0.431437252993079,0.568454941470633,0.4895132360869413,0.19696823480310627,0.8046509989564455,0.6630865698999628,2.0,3.0,2.0,1,0,0,herbi,7.0,4.387635873438392,0.5128236264286637,48.17365269461078
Mountain beaver,Aplodontia,Rodentia,nt,0.45502201002961795,0.2958535601717014,0.7653158654334029,0.23475147335376595,0.4787093455022604,0.7676361097386343,0.39546004470399704,0.34944868621141745,3.0,1.0,3.0,1,0,0,herbi,4.0,2.0918640616783932,0.30010459245033816,5.999999999999999
Musk shrew,Suncus,Soricomorpha,lc,0.11326962149673342,0.020233612871752005,0.662851011103655,0.33718335167688274,0.7233835397088417,0.5782820173859526,0.025816667302752654,0.22898522694626988,4.0,1.0,3.0,0,1,0,insecti,30.0,-1.1086626245216111,-3.036554268074246,6.875
North American Opossum,Didelphis,Didelphimorphia,lc,0.4843291094333468,0.25995717863260914,0.9451984460564147,0.0548312797262604,0.925532186496818,0.9807952762728657,0.18830513766543783,0.00469303908646834,2.0,1.0,1.0,0,0,1,omni,30.0,1.840549633397487,0.5306282510621704,3.7058823529411766
Northern fur seal,Callorhinus,Carnivora,vu,0.7749760316580776,0.6983663459463527,0.37403538685691007,0.6258157208329824,0.3863727223952441,0.3792902239411034,0.7606278480478934,0.9106414601753923,1.0,2.0,1.0,0,0,0,carni,7.0,4.590564033598729,3.0199369622508083,4.809663250366032
Northern grasshopper mouse,Onychomys,Rodentia,lc,0.07953899864038522,0.6647835698140517,0.7713788652110196,0.22868950037701086,0.7817914013203715,0.7801427695544767,0.07661815333436521,0.29862288587822894,4.0,2.0,3.0,0,0,0,carni,30.0,4.36792771029438,-3.575550768806933,2817.142857142857
Owl monkey,Aotus,Primates,,0.32831779278632905,0.39695671729675225,0.904718643989797,0.0953348309109609,0.9706405610697805,0.5168191534203103,0.4820989330722157,0.6858762785079368,2.0,2.0,2.0,0,0,1,omni,,2.740840023925201,-0.7339691750802004,32.29166666666667
Patas monkey,Erythrocebus,Primates,lc,0.7006609711660329,0.7207525552738533,0.5315557852100338,0.4684052686279271,0.6470211664800026,0.19696823480310627,0.6752689264541276,0.7382817619038372,4.0,4.0,4.0,0,0,1,omni,30.0,4.74493212836325,2.302585092994046,11.5
Phalanger,Phalanger,Diprotodontia,,0.47819039679330927,0.3477976062661099,0.7216674814837518,0.2783891706600846,0.8144031097679235,0.5168191534203103,0.5122612998567179,0.07501609168233504,2.0,1.0,2.0,1,0,0,herbi,,2.4336133554004498,0.4824261492442928,7.037037037037037
Pig,Sus,Artiodactyla,domesticated,0.8880008077338724,0.7809444182402242,0.4027059865019012,0.5971656335217401,0.28038221726927326,0.5482399088707123,0.772582991045305,0.6304779739285743,4.0,4.0,4.0,0,0,1,omni,10.0,5.19295685089021,4.457250055911469,2.0869565217391304
Pilot whale,Globicephalus,Cetacea,cd,0.9747848239609683,0.9265145173102495,0.02223380248400345,0.979047463073457,0.04651605923851834,0.00985477640390583,0.9571390107418428,0.9536693712517919,1.0,2.0,1.0,0,0,0,carni,2.0,6.742845257807619,6.684611727667927,1.0599625000000001
Potoroo,Potorous,Diprotodontia,,0.42916539291023903,0.6667792638626469,0.5457037265523845,0.4542663945749784,0.5918514372972958,0.41516323528441673,0.44949750323285925,0.29862288587822894,2.0,1.0,2.0,1,0,0,herbi,,4.380901001386372,0.09531017980432493,72.64545454545454
Potto,Perodicticus,Primates,lc,0.42916539291023903,0.6667792638626469,0.538636807844918,0.46132881151418564,0.5507320539694226,0.5870186474001087,0.7606278480478934,0.7711047918461194,2.0,3.0,2.0,0,0,1,omni,30.0,4.380901001386372,0.09531017980432493,72.64545454545454
Rabbit,Oryctolagus,Lagomorpha,domesticated,0.533430904173425,0.35717315112063897,0.3526143347803208,0.6472216029722204,0.3821425326621404,0.19696823480310627,0.6337764968773503,0.2385145845918209,5.0,5.0,5.0,1,0,0,herbi,10.0,2.4932054526026954,0.9162907318741551,4.84
Raccoon,Procyon,Carnivora,,0.6010666244006186,0.5518777119076872,0.6426786744740705,0.35734628832070137,0.6529923408557721,0.6957304147056845,0.5320483350028316,0.45161227208299803,2.0,2.0,2.0,0,0,0,carni,,3.6686767467964168,1.4558204237685008,9.14179104477612
Red fox,Vulpes,Carnivora,,0.5993879176069032,0.5934481487849933,0.4529858163350772,0.5469216891231077,0.3716074487467503,0.6841097988463977,0.40679659005052665,0.3932842358589532,1.0,1.0,1.0,0,0,0,carni,,3.919991175077323,1.4422019930581866,11.914893617021274
Rock hyrax,Procavia,Hyracoidea,lc,0.5793760937646868,0.44712402047980515,0.15068529941347958,0.8490443924595593,0.14404058305795864,0.07466395964926138,0.24067763082912014,0.8090880623599699,3.0,2.0,3.0,1,0,0,herbi,30.0,3.044522437723423,1.2809338454620642,5.833333333333333
Roe deer,Capreolus,Artiodactyla,lc,0.742618990318754,0.6978413326065858,0.031812189059941404,0.9679940203032007,0.06050182461865154,0.013243724575908377,0.6127935728037734,0.7047799437277069,5.0,5.0,5.0,1,0,0,herbi,30.0,4.58700621536042,2.6946271807700692,6.635135135135135
Round-tailed muskrat,Neofiber,Rodentia,nt,0.26262030995734825,0.6652123972811317,0.7773955584949842,0.22267370677010184,0.7874182773603768,0.7836081929622505,0.3916193969317606,0.365813910401121,4.0,2.0,3.0,1,0,0,herbi,4.0,4.370712874773608,-1.324258970200438,297.36842105263156
Sheep,Ovis,Artiodactyla,domesticated,0.8586442594655352,0.7773842185134227,0.06417763077359623,0.9355771689620043,0.05027410361342602,0.10103553420309852,0.6717396374320928,0.7065847097193337,5.0,5.0,5.0,1,0,0,herbi,10.0,5.1647859739235145,4.0163830207523885,3.1531531531531534
Short-nosed echidna,Tachyglossus,Monotremata,,0.6069997893571264,0.4763410303940439,0.3668853395480854,0.6329606831863078,0.5003080653451646,0.46045694596433867,0.9277866766308713,0.20910006622926408,2.0,2.0,2.0,0,1,0,insecti,,3.2188758248682006,1.5040773967762742,5.555555555555555
Slow loris,Nyctibeus,Primates,,0.45963482516795146,0.36232500020232555,0.538636807844918,0.46132881151418564,0.5432693018636526,0.617946123515748,0.5034544874756965,0.5589095274045007,2.0,2.0,2.0,0,0,0,carni,,2.5257286443082556,0.3364722366212129,8.928571428571429
Squirrel monkey,Saimiri,Primates,,0.3804879136050807,0.43898933140621343,0.43862175697007044,0.5612755591861781,0.4668223159236079,0.3792902239411034,0.6717396374320928,0.7230218116057597,2.0,3.0,2.0,0,0,1,omni,,2.995732273553991,-0.2970592342643779,26.917900403768506
Star-nosed mole,Condylura,Soricomorpha,lc,0.12902122705976116,0.07241402805662096,0.48882241193506987,0.5111100776404395,0.44630813529351454,0.6340784403544142,0.10463305466052164,0.31397360404376956,3.0,1.0,2.0,0,0,1,omni,30.0,0.0,-2.8134107167600364,16.666666666666668
Tenrec,Tenrec,Afrosoricida,,0.4040982057384376,0.15252113425054914,0.8347634688183165,0.16530775311516926,0.74124122339337,0.6598099845484264,0.16090518582599156,0.4367891099205917,2.0,1.0,2.0,0,0,1,omni,,0.9555114450274363,-0.10536051565782628,2.888888888888889
Thick-tailed opposum,Lutreolina,Didelphimorphia,lc,0.298586938135938,0.6654068558704102,0.9845536307926751,0.015442362928541939,0.9006067021474178,0.9931283619758834,0.26550614683605234,0.00469303908646834,2.0,1.0,1.0,0,0,0,carni,30.0,4.37197629882038,-0.9942522733438669,214.05405405405406
Thirteen-lined ground squirrel,Spermophilus,Rodentia,lc,0.17010177077417954,0.20089870902198498,0.7280251084000349,0.27203343900582083,0.7021993281107114,0.8572928001817133,0.3300868206947787,0.20910006622926408,4.0,2.0,3.0,1,0,0,herbi,30.0,1.3862943611198906,-2.2926347621408776,39.603960396039604
Three-toed sloth,Bradypus,Pilosa,,0.587735850494932,0.6717590866370107,0.7653158654334029,0.23475147335376595,0.8106673690407629,0.6340784403544142,0.8811036491786588,0.7567838583963271,4.0,3.0,3.0,1,0,0,herbi,,4.413404170366137,1.3480731482996928,21.441558441558442
Tiger,Panthera,Carnivora,en,0.9223471423845051,0.8131256967002425,0.8455629703023448,0.15450711871094408,0.8488486123066719,0.8230933487084947,0.7202519035001627,0.6228819872817133,1.0,2.0,1.0,0,0,0,carni,4.0,5.460181081439595,5.091071770386599,1.446445707536724
Tree hyrax,Dendrohyrax,Hyracoidea,lc,0.5543814464820981,0.3597670067806884,0.14464922492158677,0.8550796282552702,0.14404058305795864,0.07466395964926138,0.31236765358820073,0.7800980466793304,3.0,1.0,3.0,1,0,0,herbi,30.0,2.509599262378372,1.0818051703517284,4.169491525423728
Tree shrew,Tupaia,Scandentia,,0.17259311028134655,0.1484995997060149,0.3883588278278791,0.6115025107393568,0.896967280112489,0.7285264373427822,0.039737960038016835,0.3560963622504738,3.0,2.0,2.0,0,0,1,omni,,0.9162907318741551,-2.2633643798407643,24.03846153846154
Vervet,Cercopithecus,Primates,lc,0.6136176796610514,0.6162684758562897,0.4673368364825572,0.5325807609651045,0.6166662632810083,0.10103553420309852,0.7345209862430823,0.792247620382975,4.0,3.0,4.0,0,0,1,omni,30.0,4.060443010546419,1.55814461804655,12.210526315789474
Vesper mouse,Calomys,Rodentia,,0.10891476402400624,0.6648030924358532,0.25461080272723985,0.7451611156111136,0.24173441730005701,0.3427737080386436,0.2751759608696893,0.13927916328848244,4.0,2.0,3.0,1,0,0,herbi,,4.368054477106998,-3.101092789211817,1753.111111111111
Vole ,Microtus,Rodentia,,0.09278942900940973,0.6647835698140517,0.662851011103655,0.33718335167688274,0.6726318551216991,0.7092168469824611,0.003037649163050203,0.12923206587051117,4.0,2.0,3.0,1,0,0,herbi,,4.36792771029438,-3.3524072174927233,2253.7142857142853
Water opossum,Chironectes,Didelphimorphia,lc,0.5758573664628484,0.19784453988487533,0.9845536307926751,0.015442362928541939,0.8745893886811473,0.9931283619758834,0.07661815333436521,0.03097775903282942,2.0,1.0,1.0,0,0,0,carni,30.0,1.3609765531356006,1.252762968495368,1.1142857142857143
Western american chipmunk,Eutamias,Rodentia,,0.14163134935496102,0.664861642866291,0.7951566777777295,0.20491451953981904,0.8046067689025975,0.7937233502435246,0.37990805579480424,0.33921021616935293,4.0,2.0,3.0,1,0,0,herbi,,4.368434681154414,-2.645075401940822,1111.549295774648
