Species	Genus	Order	Vore	Conservation	BodyWt	BrainWt	TotalSleep	Awake	NonDreaming	Dreaming	LifeSpan	Gestation	Predation	Exposure	Danger
Giant armadillo	Priodontes	Cingulata	insecti	domesticated	60	81	18.1	5.9	8.2	0.8	22.4	21	4	1	3
Thick-tailed opposum	Lutreolina	Didelphimorphia	carni		0.37	0.36	19.4	4.6							
Water opossum	Chironectes	Didelphimorphia	carni		3.5	3.9	19.4	4.6							
North American Opossum	Didelphis	Didelphimorphia	omni	en	1.7	6.3	18	6		2.2			3	1	3
Potoroo	Potorous	Diprotodontia	herbi		1.1	1.08	11.1	12.9		6.6					
Phalanger	Phalanger	Diprotodontia	herbi		1.62	11.4	13.7	10.3		0.5					
Desert hedgehog	Paraechinus	Erinaceomorpha	insecti	lc	0.55	2.4	10.3	13.7	7.4	6.1	3.9	28	5	5	5
European hedgehog	Erinaceus	Erinaceomorpha	omni	lc	0.77	3.5	10.1	13.9	17.9	1.5	46	19	1	1	1
Gray hyrax	Heterohyrax	Hyracoidea	herbi	lc	2.625	12.27	6.3	17.7	11.9	3.1	2	45	2	1	1
Tree hyrax	Dendrohyrax	Hyracoidea	herbi		2.95	12.3	5.3	18.7							
Rock hyrax	Procavia	Hyracoidea	herbi		3.6	21	5.4	18.6							
Rabbit	Oryctolagus	Lagomorpha	herbi		2.5	12.1	8.4	15.6							
Short-nosed echidna	Tachyglossus	Monotremata	insecti		4.5	25	8.6	15.4							
Brazilian tapir	Tapirus	Perissodactyla	herbi	domesticated	207.501	169	4.4	19.6	10.9	0.7	30	112	5	4	4
Donkey	Equus	Perissodactyla	herbi	cr	187	419	3.1	20.9	6.1	3.4	41	63	5	1	3
Horse	Equus	Perissodactyla	herbi	lc	521	655	2.9	21.1	3.2	2.8	27	17	2	1	1
Three-toed sloth	Bradypus	Pilosa	herbi		3.85	3.77	14.4	9.6							
Mongoose lemur	Lemur	Primates	herbi	lc	1.67	1.64	9.5	14.5		0.5	2.3	46	2	2	2
Potto	Perodicticus	Primates	omni		1.1	1.08	11	13							
Galago	Galago	Primates	omni	lc	0.2	5	9.8	14.2	14.3	2.3	3.2	267	5	3	4
Slow loris	Nyctibeus	Primates	carni		1.4	12.5	11	13							
Owl monkey	Aotus	Primates	omni	lc	0.48	15.5	17	7		3.4			2	1	1
Squirrel monkey	Saimiri	Primates	omni		0.743	20	9.6	14.4							
Vervet	Cercopithecus	Primates	omni		4.75	58	10	14							
Patas monkey	Erythrocebus	Primates	omni		10	115	10.9	13.1		2.2					
Macaque	Macaca	Primates	omni	lc	6.8	179	10.1	13.9		1.5	3.5	90	5	5	5
Baboon	Papio	Primates	omni	lc	25.235	180	9.4	14.6	11	1.4	30.4	35	1	1	1
Gorilla	Gorilla	Primates	herbi	vu	207	406	12	12	10	2	29	30	1	1	1
Chimpanzee	Pan	Primates	omni	domesticated	52.2	440	9.7	14.3	9.5	2.9	3.5	365	1	2	1
Human	Homo	Primates	omni	lc	62	1320	8	16	8.1	5.6	13.7	31	4	4	4
Asian elephant	Elephas	Proboscidea	herbi	vu	2547	4603	3.9	20.1	8.3	0.4	19	180	4	4	4
African elephant	Loxodonta	Proboscidea	herbi	vu	6654	5712	3.3	20.7	6.3	2	38.6	645	3	5	3
African striped mouse	Rhabdomys	Rodentia	omni	en	0.044	0.04	8.7	15.3	9.1	0.7	14	60	1	1	1
Deer mouse	Peromyscus	Rodentia	herbi	en	0.021	0.02	11.5	12.5	10.4	1.2	28	148	1	2	1
Degu	Octodon	Rodentia	herbi	cd	0.21	0.21	7.7	16.3	4.7	1.3	20	16	1	1	1
Eastern american chipmunk	Tamias	Rodentia	herbi	lc	0.112	0.11	15.8	8.2	10.6	3.4	16.2	68	1	4	1
Mongolian gerbil	Meriones	Rodentia	herbi	domesticated	0.053	0.05	14.2	9.8		2.4	7.5	200	2	2	2
Northern grasshopper mouse	Onychomys	Rodentia	carni	lc	0.028	0.03	14.5	9.5		6.6			4	3	4
Round-tailed muskrat	Neofiber	Rodentia	herbi		0.266	0.26	14.6	9.4							
Vesper mouse	Calomys	Rodentia	herbi		0.045	0.04	7	17							
Vole 	Microtus	Rodentia	herbi		0.035	0.03	12.8	11.2							
Western american chipmunk	Eutamias	Rodentia	herbi		0.071	0.07	14.9	9.1							
House mouse	Mus	Rodentia	herbi	vu	0.022	0.4	12.5	11.5	8.6	2	18	115	2	2	2
Golden hamster	Mesocricetus	Rodentia	herbi	lc	0.12	1	14.3	9.7	13.8	2.6	24	120	3	1	3
Cotton rat	Sigmodon	Rodentia	herbi	lc	0.148	1.18	11.3	12.7	3.3	2.1	34	120	2	2	2
Laboratory rat	Rattus	Rodentia	herbi	domesticated	0.32	1.9	13	11	4.9	1.8	6	52	4	4	4
Mole rat	Spalax	Rodentia	insecti	nt	0.122	3	10.6	13.4		0.9	4.5	60	5	5	5
Golden-mantled ground squirrel	Spermophilus	Rodentia	herbi	lc	0.205	4	15.9	8.1	15.2	1.4	6.5	164	5	2	4
Thirteen-lined ground squirrel	Spermophilus	Rodentia	herbi		0.101	4	13.8	10.2							
Guinea pig	Cavis	Rodentia	herbi	lc	0.728	5.5	9.4	14.6	4.9	0.9	13	170	4	1	3
Arctic ground squirrel	Spermophilus	Rodentia	herbi	vu	0.92	5.7	16.6	7.4	5.2	1	27	624	3	5	4
Chinchilla	Chinchilla	Rodentia	herbi	domesticated	0.42	6.4	12.5	11.5	4.8	3.6	6	42	5	5	5
African giant pouched rat	Cricetomys	Rodentia	omni	lc	1	6.6	8.3	15.7	2.1	1.8	4.5	42	3	1	3
Mountain beaver	Aplodontia	Rodentia	herbi	lc	1.35	8.1	14.4	9.6		0.6	24	210	3	1	2
Tree shrew	Tupaia	Scandentia	omni		0.104	2.5	8.9	15.1							
Lesser short-tailed shrew	Cryptotis	Soricomorpha	omni	cd	0.005	0.14	9.1	14.9	13.2	0.9	17	225	5	5	5
Greater short-tailed shrew	Blarina	Soricomorpha	omni	nt	0.019	0.29	14.9	9.1	7.4	1.9	20.2	140	3	1	3
Musk shrew	Suncus	Soricomorpha	insecti	lc	0.048	0.33	12.8	11.2		1.4	3	14	2	1	2
Star-nosed mole	Condylura	Soricomorpha	omni		0.06	1	10.3	13.7							
Eastern american mole	Scalopus	Soricomorpha	insecti	lc	0.075	1.2	8.4	15.6	7.7	0.6	7.6	336	1	3	1
